kills_first_4_min,assists_first_4_min,camps_cleared_first_4_min,gold_earned_first_4_min,win,kills_details,summoner_spells,champion,first_item,level_at_first_blood,firstBlood,gold_per_minute,game_type
1,2,24,1725,True,[51908],"(6, 11)",Kayn,Blue,1,False,431.25,Other
0,0,4,861,False,[],"(4, 11)",Zyra,Red,1,False,215.25,Other
0,0,28,1395,False,[],"(4, 11)",Graves,Green,4,False,348.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",FiddleSticks,Blue,4,False,348.75,Ranked Solo/Duo
0,0,24,1291,True,[],"(4, 11)",Graves,Green,3,False,322.75,Ranked Solo/Duo
0,0,24,1335,False,[],"(4, 11)",Lillia,Red,4,False,333.75,Ranked Solo/Duo
0,0,27,1381,True,[],"(4, 11)",Graves,Green,4,False,345.25,Ranked Solo/Duo
1,1,16,1704,False,[186546],"(4, 11)",Warwick,Blue,3,True,426.0,Ranked Solo/Duo
0,0,28,1395,True,[],"(11, 6)",MasterYi,Blue,3,False,348.75,Ranked Solo/Duo
1,0,24,1682,False,[227711],"(4, 11)",Graves,Green,3,False,420.5,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Briar,Red,1,False,348.75,Ranked Solo/Duo
0,2,24,1543,True,[],"(4, 11)",Graves,Green,1,False,385.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Diana,Blue,4,False,348.75,Ranked Solo/Duo
0,1,24,1435,True,[],"(4, 11)",Graves,Green,4,False,358.75,Ranked Solo/Duo
0,0,28,1392,True,[],"(4, 11)",Nidalee,Blue,1,False,348.0,Other
1,4,20,1909,False,[48932],"(4, 11)",Nocturne,Green,1,True,477.25,Other
2,0,24,1988,True,"[230278, 238764]","(4, 11)",Graves,Green,3,False,497.0,Ranked Solo/Duo
0,0,24,1315,False,[],"(11, 4)",Ekko,Green,3,False,328.75,Ranked Solo/Duo
0,1,24,1391,False,[],"(4, 11)",Graves,Green,1,False,347.75,Ranked Solo/Duo
1,1,24,1587,True,[210945],"(11, 4)",Maokai,Blue,1,False,396.75,Ranked Solo/Duo
1,0,16,1451,False,[204360],"(11, 4)",Warwick,Green,3,False,362.75,Ranked Solo/Duo
2,0,24,1961,True,"[206464, 219657]","(4, 11)",Viego,Blue,3,False,490.25,Ranked Solo/Duo
1,0,20,1546,True,[200710],"(11, 4)",Lillia,Blue,3,False,386.5,Ranked Solo/Duo
0,0,20,1250,False,[],"(6, 11)",Udyr,Blue,3,False,312.5,Ranked Solo/Duo
1,0,16,1456,False,[57086],"(11, 4)",Vi,Blue,1,False,364.0,Ranked Solo/Duo
1,2,12,1473,True,[157926],"(11, 4)",Kayn,Green,1,False,368.25,Ranked Solo/Duo
0,1,24,1510,False,[],"(11, 4)",Kayn,Blue,3,False,377.5,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",Shyvana,Red,3,False,348.75,Ranked Solo/Duo
0,0,16,1117,True,[],"(4, 11)",Briar,Green,3,False,279.25,Ranked Solo/Duo
0,0,24,1335,False,[],"(11, 4)",Shyvana,Red,3,False,333.75,Ranked Solo/Duo
0,0,20,1235,True,[],"(14, 11)",Zac,Green,4,False,308.75,Ranked Solo/Duo
0,0,24,1315,False,[],"(11, 6)",Nocturne,Green,4,False,328.75,Ranked Solo/Duo
0,0,24,1370,False,[],"(4, 11)",FiddleSticks,Red,4,False,342.5,Ranked Solo/Duo
0,0,28,1395,True,[],"(11, 4)",Kayn,Blue,4,False,348.75,Ranked Solo/Duo
0,0,24,1315,False,[],"(4, 11)",Shyvana,Red,2,False,328.75,Ranked Solo/Duo
1,0,24,1635,True,[224987],"(11, 4)",JarvanIV,Blue,2,False,408.75,Ranked Solo/Duo
0,0,16,1175,True,[],"(11, 4)",Chogath,Blue,3,False,293.75,Ranked Solo/Duo
1,0,12,1355,False,[194946],"(11, 4)",Elise,Red,3,False,338.75,Ranked Solo/Duo
0,1,10,1160,False,[],"(4, 11)",Graves,Red,2,False,290.0,Ranked Solo/Duo
1,1,20,1638,True,[196568],"(4, 11)",Vi,Blue,3,False,409.5,Ranked Solo/Duo
0,1,20,1422,True,[],"(11, 4)",Brand,Blue,3,False,355.5,Normal Draft
0,0,18,1151,False,[],"(4, 11)",Taliyah,Red,3,False,287.75,Normal Draft
1,0,20,1555,True,[211330],"(11, 4)",Elise,Red,3,False,388.75,Normal Draft
1,0,24,1625,False,[211364],"(4, 11)",Karthus,Red,3,False,406.25,Normal Draft
0,0,28,1395,False,[],"(6, 11)",Gwen,Blue,4,False,348.75,Normal Draft
0,1,12,1221,True,[],"(4, 11)",Pantheon,Blue,3,False,305.25,Normal Draft
0,0,28,1395,True,[],"(6, 11)",Gwen,Red,2,False,348.75,Ranked Flex
1,0,21,1584,False,[187414],"(11, 4)",XinZhao,Red,2,False,396.0,Ranked Flex
1,1,8,1799,False,[144109],"(4, 11)",MasterYi,Blue,1,False,449.75,Ranked Flex
0,7,16,1535,True,[],"(4, 11)",FiddleSticks,Blue,1,False,383.75,Ranked Flex
0,0,12,1081,False,[],"(4, 11)",Rengar,No Item,2,False,270.25,Ranked Flex
0,1,20,1259,True,[],"(11, 4)",Vladimir,Blue,1,False,314.75,Ranked Flex
0,0,28,1430,False,[],"(4, 11)",Rengar,Blue,3,False,357.5,Ranked Flex
0,0,24,1315,True,[],"(4, 11)",Sejuani,Green,3,False,328.75,Ranked Flex
0,0,16,1131,False,[],"(11, 4)",Khazix,Blue,3,False,282.75,Ranked Solo/Duo
1,0,24,1655,True,[236777],"(11, 4)",Kindred,Green,4,False,413.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(4, 11)",Udyr,Green,3,False,348.75,Ranked Solo/Duo
1,0,24,1648,True,[170573],"(11, 4)",Viego,Blue,3,False,412.0,Ranked Solo/Duo
1,1,15,1534,True,[203026],"(11, 4)",RekSai,Blue,2,False,383.5,Ranked Solo/Duo
0,0,28,1392,False,[],"(4, 11)",Nocturne,Red,2,False,348.0,Ranked Solo/Duo
0,0,27,1381,False,[],"(11, 6)",Darius,Blue,3,False,345.25,Ranked Solo/Duo
1,1,24,1730,True,[224806],"(11, 4)",Udyr,Green,3,False,432.5,Ranked Solo/Duo
0,1,24,1485,False,[],"(11, 4)",Udyr,Blue,3,False,371.25,Ranked Solo/Duo
0,1,24,1479,True,[],"(11, 4)",Talon,No Item,3,False,369.75,Ranked Solo/Duo
0,1,14,1182,False,[],"(6, 11)",Warwick,Blue,3,False,295.5,Ranked Solo/Duo
0,1,24,1534,True,[],"(11, 6)",Shyvana,Red,4,False,383.5,Ranked Solo/Duo
0,0,24,1320,True,[],"(11, 4)",Maokai,Red,3,False,330.0,Ranked Solo/Duo
0,0,24,1315,False,[],"(11, 14)",Zac,Green,3,False,328.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Lillia,No Item,4,False,348.75,Ranked Solo/Duo
0,0,28,1458,True,[],"(6, 11)",Hecarim,Blue,4,False,364.5,Ranked Solo/Duo
1,0,20,1516,True,[218262],"(11, 4)",LeeSin,Blue,3,False,379.0,Ranked Solo/Duo
0,0,16,1131,False,[],"(11, 4)",Kindred,Red,3,False,282.75,Ranked Solo/Duo
0,0,23,1309,True,[],"(11, 4)",Vi,Blue,3,False,327.25,Ranked Solo/Duo
0,0,28,1392,False,[],"(6, 11)",Gwen,Blue,4,False,348.0,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",Udyr,Blue,4,False,348.75,Ranked Solo/Duo
1,0,24,1779,False,[232552],"(11, 6)",Hecarim,Blue,4,True,444.75,Ranked Solo/Duo
0,1,16,1309,True,[],"(11, 4)",Ekko,Blue,3,False,327.25,Ranked Solo/Duo
0,0,23,1332,False,[],"(11, 4)",Zyra,Red,4,False,333.0,Ranked Solo/Duo
